,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
0,CHEMBL32704,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCCc1ccccc1,active,824.9799999999999,2.7491000000000065,4.0,10.0,6.2839966563652006
1,CHEMBL33248,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCc1ccccc1,active,810.953,2.706600000000006,4.0,10.0,6.657577319177793
2,CHEMBL285069,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)N[C@@H](C)c1ccccc1,active,824.98,3.267600000000006,4.0,10.0,6.657577319177793
3,CHEMBL286124,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC1CC1,active,760.8929999999999,1.6688000000000052,4.0,10.0,6.376750709602099
4,CHEMBL285686,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)c1ccccc1,active,781.9110000000001,3.273100000000004,3.0,10.0,7.585026652029182
5,CHEMBL284771,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)N[C@@H](C)C(=O)c1cccc2ccccc12,active,903.05,3.9310000000000063,4.0,11.0,6.1249387366083
6,CHEMBL423300,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NC(C)C(=O)O,active,792.8910000000001,0.9795000000000067,5.0,11.0,6.886056647693163
7,CHEMBL285260,CCCC(NC(=O)[C@@H]1C[C@@H](OC(=O)N2CCc3ccccc3C2)CN1C(=O)[C@H](NC(=O)[C@H](NC(=O)c1cnccn1)C(C)C)C(C)C)C(=O)C(=O)NCC(=O)O,active,778.864,0.5910000000000071,5.0,11.0,7.431798275933005
8,CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,4.00436480540245
9,CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,4.552841968657781
10,CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,3.4672456210075024
11,CHEMBL116118,CC[C@@H]1C(=O)N(C(C)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,395.50000000000017,1.920099999999999,1.0,5.0,3.7644715530924513
12,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,4.161150909262744
13,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,4.721246399047171
14,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,4.161150909262744
15,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,3.3979400086720375
16,CHEMBL111936,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(C)=O)C(C)C)C(C)C)[C@H]12,inactive,716.811,-1.6054999999999886,6.0,10.0,3.5466816599529625
17,CHEMBL326331,CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.346787486224656
18,CHEMBL326331,CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.055517327849831
19,CHEMBL326331,CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,3.714442690992226
20,CHEMBL326331,CC[C@H]1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,3.712198270069774
21,CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.568636235841013
22,CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,4.207608310501746
23,CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,3.7399286120149253
24,CHEMBL112200,CCC1C(=O)N(S(C)(=O)=O)[C@H]2CCN(C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)[C@H]12,inactive,431.5550000000002,1.333200000000001,1.0,6.0,3.853871964321762
